ID,ID_corrected,操作判断,操作前准备1,操作前准备2,操作前准备3,操作过程1,操作过程2,操作过程3.1,操作过程3.2,操作过程4,操作过程5.1,操作过程5.2,操作过程6,操作后处理,overall
1016-hwq-5,1016-hwq-05,5,5,5,5,5,5,5,0,5,8,15,10,7,7
311-wsx-10,0311-wsx-10-sj,5,5,5,5,5,5,5,0,0,5,14,14,6,6
1015-lyl-01,,5,5,5,5,4,5,3,0,5,7,15,10,10,6
1017-lyl2-6,1017-lyl-06,5,5,5,5,5,5,5,0,5,8,15,12,10,8
1015-xxd-05,,5,5,5,0,5,5,5,0,0,5,10,12,5,7
1016-xxd2-2,1016-xxd-02,5,5,5,5,5,5,5,1,5,8,15,10,8,5
1016-xxd2-3,1016-xxd-03,5,5,5,5,5,5,5,1,5,9,15,10,8,5
0310-hch-01,,5,5,5,5,5,5,3,2,5,10,15,15,10,8
1016-xxd2-6,1016-xxd-06,5,5,5,5,5,5,3,2,5,10,15,12,8,8
1018-yzl2-5,1018-yzl-05,5,4,3,0,4,5,3,3,0,10,15,15,3,5
1019-ywp-06,1019-ywp-06,5,5,5,5,5,5,3,3,5,10,15,10,10,8
1019-ywp-07,1019-ywp-07,5,5,5,5,5,5,3,3,5,10,15,10,10,8
0312-jzb-3,0312-jzb-03,4,3,5,5,5,3,5,3,4,10,15,8,7,6
0310-hch-08,,5,5,5,5,5,5,3,3,5,2,15,15,10,8
1014-sly-04,,5,5,5,5,4,5,5,4,4,7,15,15,9,8
1014-msp-01,,5,5,5,5,4,5,3,4,5,10,15,15,9,8
1014-hmz-01,,5,4,3,5,2,5,4,4,5,7,15,12,7,8
1014-sly-05,,5,5,5,5,4,5,5,4,4,7,15,15,9,8
1016-jzt3-5,1016-jzt3-05,5,5,5,5,5,5,1,4,0,6,15,11,7,6
1018-rxy-08,1018-rxy-08,5,5,5,5,5,5,5,5,5,10,15,15,8,9
0312-zmt-1,0312-zmt-01,5,3,5,5,5,3,5,5,4,10,15,15,9,9
1017-ljt-5,1017-ljt-05,5,5,5,5,5,5,5,5,5,10,15,10,8,8
1017-wtb-4,1017-wtb-04,5,3,5,5,4,5,3,5,5,10,15,12,2,4
1017-msp2-4,1017-msp-04,5,5,5,5,3,5,5,5,5,10,15,12,7,6
