ID,ID_corrected,操作判断,操作前准备1,操作前准备2,操作前准备3,操作过程1,操作过程2,操作过程3.1,操作过程3.2,操作过程4,操作过程5.1,操作过程5.2,操作过程6,操作后处理,overall
1015-xxd-04,,5,5,5,5,5,5,3,0,5,5,5,12,0,5
1015-xxd-10,,5,5,5,5,5,5,5,0,5,10,7,12,5,7
1015-tfy-09,,5,5,5,5,5,5,5,5,5,10,10,15,10,8
1018-hzy-10,1018-hzy-10,5,0,5,0,5,5,0,0,0,10,10,5,5,5
1018-sfk2-10,1018-sfk-10,5,5,5,5,5,5,5,5,5,10,12,15,10,10
1018-xxd3-3,1018-xxd-03,5,5,5,5,4,5,3,3,0,10,12,12,1,3
1018-sfk2-07,1018-sfk-07,5,5,5,5,5,5,5,5,0,10,12,15,10,10
311-yzl-10,0311-yzl-10-sj,5,5,5,5,5,5,5,5,0,8,13,13,7,7
311-jzt-03,0311-jzt-03-sj,5,5,5,5,5,5,5,5,5,10,13,14,8,8
311-yzl-05,0311-yzl-05-sj,5,5,5,5,5,5,5,5,0,8,13,13,7,8
311-jzt-07,0311-jzt-07-sj,5,5,5,5,5,5,5,5,5,10,13,11,7,7
1015-sfk-09,,5,5,5,5,5,5,5,5,5,10,13,15,10,10
311-yzl-01,0311-yzl-01-sj,5,5,5,5,5,5,5,3,0,10,14,11,8,8
311-sly-03,0311-sly-03-sj,5,5,5,5,5,5,5,5,5,9,14,15,8,8
311-wsx-10,0311-wsx-10-sj,5,5,5,5,5,5,5,0,0,5,14,14,6,6
311-wzh-06,0311-wzh-06-sj,5,5,5,5,5,5,0,0,0,7,14,13,7,7
311-sly-06,0311-sly-06-sj,5,5,5,5,5,5,2,5,5,8,14,13,7,7
1018-lyl3-9,1018-lyl-09,5,4,5,5,4,5,4,0,5,10,15,15,8,8
0312-gyq-04,0312-gyx-04,5,3,5,5,5,3,5,5,0,10,15,15,8,8
1017-sly-10,1017-sly-10,5,5,5,5,5,5,5,5,5,10,15,12,7,8
0312-jzb-10,,4,5,5,5,5,3,5,5,4,10,15,8,8,6
1017-jzt5-5,1017-jzt-15,5,5,5,5,5,5,2,5,5,10,15,12,7,8
